Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/8/2019,2019,Pitcher X,Left,1,1,Right,1,0,0,FASTBALL,91.44989777,18.65430069,-6.638510227,5.672550201,-1.148990035,5.458740234,2.287770033,0.125613004,1869.310059,161.0010071,0.553204834,0.075274825,0.041642397
4/8/2019,2019,Pitcher X,Left,1,1,Right,2,0,1,CHANGEUP,85.71399689,0.879678011,-14.74950027,5.421790123,-1.060649991,6.149889946,1.686750054,-1.101580024,1907.550049,96.47720337,0.574563265,0.411255717,0.236292428
4/8/2019,2019,Pitcher X,Left,1,1,Right,3,1,1,FASTBALL,92.88729858,14.44400024,-9.518309593,5.43200016,-1.247349977,5.872360229,2.077909946,1.378960013,1955.439941,147.4819946,0.08768709,0.170600176,0.014959433
4/8/2019,2019,Pitcher X,Left,1,1,Right,4,1,2,FASTBALL,93.02179718,14.85809994,-8.800720215,5.595970154,-1.180420041,5.546450138,3.991839886,-1.308429956,1938.390015,150.1289978,0.062897563,0.53674382,0.033759878
4/8/2019,2019,Pitcher X,Left,1,1,Right,5,2,2,FASTBALL,91.87059784,23.68129921,-8.183139801,5.754640102,-1.07167995,5.838699818,3.234400034,0.077624001,1871.530029,161.7810059,0.976665676,0.304483503,0.297378586
4/8/2019,2019,Pitcher X,Left,1,2,Right,1,0,0,CHANGEUP,87.55120087,5.521070004,-15.3689003,5.486579895,-1.206750035,5.679850101,2.387409925,-0.734067976,1797.819946,112.0670013,0.624335468,0.14707391,0.091823458
4/8/2019,2019,Pitcher X,Left,1,2,Right,2,0,1,CHANGEUP,86.64910126,6.241409779,-15.6019001,5.530379772,-1.301319957,5.663619995,2.630589962,-2.168129921,1714.699951,114.0210037,0.007249368,0.614266038,0.004453041
4/8/2019,2019,Pitcher X,Left,1,2,Right,3,1,1,FASTBALL,93.27559662,18.70439911,-6.381669998,5.61823988,-1.385820031,5.837719917,3.984349966,-1.13744998,1930.469971,161.727005,0.036979999,0.821161091,0.030366537
4/8/2019,2019,Pitcher X,Left,1,2,Right,4,2,1,SLIDER,85.03019714,4.076720238,3.122100115,5.557360172,-1.118960023,5.316899776,3.677079916,-0.090645902,2505.090088,-148.595993,0.328922868,0.399136633,0.131285166
4/8/2019,2019,Pitcher X,Left,1,2,Right,5,2,2,SLIDER,84.63999939,1.836159945,4.988840103,5.55163002,-1.136010051,5.592619896,1.764420033,0.763074994,0,-114.7320023,0.921798229,0.231774271,0.213649112
